orig_acct,bene_acct,cash_in,cash_out,debit,deposit,payment,transfer,base_amt,tran_timestamp
521,194,1,0,0,0,0,0,639.32,1488067200
51,415,0,0,0,0,0,1,625.17,1487289600
401,133,0,1,0,0,0,0,466.69,1483401600
446,260,0,0,0,0,0,1,418.56,1485993600
661,300,0,0,0,0,0,1,519.78,1486252800
570,203,0,0,0,0,0,1,296.21,1487548800
672,960,0,0,0,0,0,1,493.31,1487721600
724,273,1,0,0,0,0,0,215.59,1485648000
991,364,0,1,0,0,0,0,965.99,1486512000
442,278,0,0,0,0,0,1,862.91,1488585600
734,181,0,0,0,0,0,1,801.88,1484438400
607,819,1,0,0,0,0,0,166.07,1487116800
625,530,0,0,0,0,0,1,874.16,1489017600
179,750,0,0,0,0,1,0,321.7,1484784000
512,323,0,1,0,0,0,0,140.83,1484265600
878,955,1,0,0,0,0,0,612.21,1484438400
934,982,0,1,0,0,0,0,740.57,1485216000
532,632,0,0,0,0,1,0,273.86,1488240000
823,981,0,1,0,0,0,0,752.41,1483920000
783,977,1,0,0,0,0,0,586.09,1486684800
519,180,0,1,0,0,0,0,488.89,1486252800
811,252,0,0,0,0,0,1,334.97,1489104000
135,293,1,0,0,0,0,0,459.29,1486080000
538,214,1,0,0,0,0,0,334.55,1485907200
719,317,0,0,0,0,0,1,311.8,1489104000
510,346,0,0,0,0,0,1,106.1,1485561600
993,621,0,0,0,0,0,1,448.7,1489104000
941,959,0,0,0,0,1,0,398.85,1488412800
196,974,0,0,0,0,0,1,493.85,1486857600
28,139,0,1,0,0,0,0,598.2,1483574400
129,225,0,1,0,0,0,0,528.47,1485129600
20,880,0,0,0,0,0,1,464.24,1488240000
624,248,0,0,0,1,0,0,312.47,1488326400
190,966,0,0,0,0,1,0,489.94,1487203200
126,365,0,1,0,0,0,0,981.99,1488067200
796,328,0,0,0,0,1,0,276.37,1485129600
928,289,0,0,1,0,0,0,299.99,1489017600
61,181,0,1,0,0,0,0,550.66,1488585600
793,427,0,0,0,0,0,1,983.94,1488758400
931,967,0,0,0,1,0,0,783.36,1487116800
43,542,0,0,0,0,1,0,951.72,1485043200
854,375,0,0,0,0,0,1,859.0,1485561600
132,361,0,0,0,0,0,1,665.37,1488931200
864,144,0,0,0,0,1,0,176.22,1485216000
902,529,0,0,0,0,1,0,722.82,1483660800
669,904,0,0,0,0,1,0,951.84,1488240000
630,357,0,0,0,0,0,1,931.49,1483833600
88,65,1,0,0,0,0,0,440.2,1488499200
873,262,0,0,0,0,1,0,921.37,1488499200
862,817,0,0,0,0,0,1,753.53,1488758400
867,261,0,0,1,0,0,0,475.88,1486080000
466,335,0,0,0,0,1,0,820.17,1485820800
447,83,0,0,0,0,1,0,285.94,1486512000
750,746,0,1,0,0,0,0,151.99,1486166400
198,951,0,0,0,0,1,0,1049.37,1484179200
105,255,0,1,0,0,0,0,748.13,1486944000
516,326,1,0,0,0,0,0,442.5,1486771200
812,788,0,0,0,1,0,0,511.09,1483401600
836,667,0,0,0,0,0,1,436.41,1485475200
916,697,0,1,0,0,0,0,326.56,1485388800
845,924,0,0,0,1,0,0,729.79,1484438400
466,335,0,0,0,0,0,1,119.29,1487635200
142,635,0,0,0,0,0,1,353.48,1484524800
6,766,0,0,0,0,0,1,381.89,1486080000
423,173,0,1,0,0,0,0,931.22,1485734400
703,958,0,0,0,0,1,0,106.6,1487548800
924,337,0,1,0,0,0,0,934.11,1488153600
119,141,0,0,0,0,0,1,840.5,1484784000
844,460,0,0,0,0,1,0,192.14,1483920000
425,174,0,0,0,1,0,0,119.91,1484352000
101,734,0,1,0,0,0,0,134.46,1486512000
559,105,0,1,0,0,0,0,863.33,1484524800
978,252,0,0,0,1,0,0,390.39,1486684800
900,243,0,0,0,0,0,1,258.48,1485820800
125,836,0,1,0,0,0,0,848.97,1488153600
868,862,1,0,0,0,0,0,374.62,1486339200
18,147,0,0,0,0,0,1,753.94,1483920000
649,959,0,0,0,1,0,0,107.08,1483833600
907,202,0,0,0,0,0,1,117.13,1487030400
983,330,0,0,0,0,0,1,442.95,1486252800
491,332,0,0,1,0,0,0,681.44,1489017600
942,853,1,0,0,0,0,0,983.36,1484265600
78,999,1,0,0,0,0,0,559.04,1484352000
655,991,0,0,0,0,0,1,537.06,1484006400
897,725,0,0,0,1,0,0,711.72,1484352000
147,932,0,0,0,0,0,1,1024.13,1487116800
783,899,0,1,0,0,0,0,335.24,1487894400
455,94,0,0,0,0,0,1,345.19,1483315200
876,970,0,0,0,0,0,1,968.33,1485734400
750,828,0,0,0,0,0,1,940.93,1484352000
400,73,0,0,0,1,0,0,170.22,1484870400
537,131,0,0,0,0,0,1,261.8,1484784000
152,979,0,0,0,0,0,1,641.16,1485302400
92,808,0,1,0,0,0,0,458.47,1485734400
984,882,0,0,0,0,0,1,420.89,1486771200
89,801,0,0,0,1,0,0,714.98,1487635200
860,63,0,0,0,0,0,1,538.46,1487808000
734,693,0,0,0,1,0,0,120.19,1486857600
38,900,0,1,0,0,0,0,400.95,1487030400
891,905,0,1,0,0,0,0,693.66,1483401600
680,199,1,0,0,0,0,0,965.93,1487203200
569,352,0,1,0,0,0,0,869.73,1484956800
891,905,0,1,0,0,0,0,452.17,1485820800
501,266,1,0,0,0,0,0,262.54,1486684800
935,911,0,0,0,0,0,1,559.83,1487116800
885,980,0,0,0,0,1,0,379.78,1483660800
383,398,1,0,0,0,0,0,799.22,1484006400
792,890,0,0,0,0,1,0,299.74,1486684800
402,214,1,0,0,0,0,0,847.64,1483228800
922,99,1,0,0,0,0,0,307.71,1487289600
556,106,1,0,0,0,0,0,547.22,1483488000
738,515,0,0,0,0,0,1,920.87,1484784000
554,126,0,1,0,0,0,0,150.66,1484697600
832,228,0,0,0,0,1,0,217.84,1489104000
855,985,0,0,0,0,1,0,680.69,1489017600
522,384,0,0,0,0,0,1,954.74,1484438400
520,216,0,0,0,0,0,1,181.1,1486080000
933,811,0,0,0,0,0,1,317.3,1488412800
106,853,1,0,0,0,0,0,719.44,1486339200
738,229,0,0,0,0,0,1,771.96,1488412800
901,248,0,0,0,1,0,0,422.03,1485907200
440,339,0,0,0,0,0,1,561.55,1489017600
671,845,0,0,1,0,0,0,934.2,1483920000
544,210,1,0,0,0,0,0,585.28,1484870400
472,742,0,0,0,0,0,1,278.34,1488844800
724,267,1,0,0,0,0,0,759.38,1488585600
594,77,0,0,0,0,1,0,293.07,1485561600
831,906,0,0,0,0,1,0,188.31,1484611200
949,269,0,0,0,0,0,1,687.4,1485993600
108,908,0,0,0,0,0,1,742.45,1484956800
975,95,0,0,0,0,1,0,372.43,1485129600
721,596,0,0,0,0,0,1,835.33,1485043200
275,313,0,0,0,1,0,0,218.67,1487376000
30,883,0,0,0,0,0,1,439.15,1484784000
732,677,1,0,0,0,0,0,503.12,1484179200
618,972,0,1,0,0,0,0,155.65,1483228800
106,853,1,0,0,0,0,0,399.21,1488758400
434,33,0,0,0,0,0,1,188.3,1486857600
831,906,0,0,0,0,1,0,782.77,1487030400
767,317,0,0,1,0,0,0,815.94,1486080000
44,777,1,0,0,0,0,0,773.02,1486339200
859,749,0,1,0,0,0,0,910.29,1487635200
647,536,0,0,0,0,0,1,262.72,1486512000
693,774,0,0,0,0,0,1,697.03,1483660800
845,924,0,0,0,1,0,0,906.6,1483228800
168,832,0,0,0,0,0,1,846.01,1489190400
951,395,0,0,1,0,0,0,658.56,1485907200
698,737,0,0,0,0,0,1,895.33,1486166400
804,855,0,0,0,0,0,1,734.38,1488585600
49,919,0,0,0,0,0,1,580.56,1487203200
859,749,0,1,0,0,0,0,112.69,1488240000
170,987,0,0,0,0,0,1,756.51,1484697600
918,333,0,0,0,1,0,0,789.36,1486598400
533,629,0,0,0,1,0,0,515.97,1485993600
19,912,0,0,0,0,1,0,950.42,1488758400
794,745,0,1,0,0,0,0,394.43,1485993600
105,255,0,1,0,0,0,0,1014.48,1484352000
976,233,0,0,0,1,0,0,575.24,1488758400
629,815,0,0,1,0,0,0,738.5,1487030400
197,964,0,0,0,0,0,1,562.73,1486339200
931,208,0,0,0,0,0,1,764.24,1484956800
936,998,0,0,0,0,0,1,613.47,1488672000
566,55,0,0,0,0,0,1,592.14,1486425600
614,158,0,0,0,0,0,1,637.38,1487462400
958,996,0,1,0,0,0,0,832.91,1484265600
6,766,0,0,0,0,0,1,326.24,1487289600
947,253,0,0,0,1,0,0,108.95,1486684800
482,339,0,1,0,0,0,0,298.62,1486857600
932,361,0,0,0,0,0,1,265.12,1486512000
478,405,0,0,0,0,1,0,987.8,1488153600
795,204,0,0,0,0,0,1,337.76,1488067200
488,775,0,0,0,0,0,1,178.63,1484870400
558,330,0,0,1,0,0,0,237.21,1486857600
753,332,0,0,1,0,0,0,857.85,1484956800
408,347,0,0,0,0,1,0,503.22,1486944000
761,379,0,0,0,0,0,1,216.54,1488153600
460,152,0,1,0,0,0,0,223.43,1484438400
736,570,0,0,0,0,0,1,245.64,1486252800
854,375,0,0,0,0,0,1,605.28,1487376000
885,322,0,0,0,0,1,0,999.61,1488758400
949,960,0,0,0,0,0,1,203.33,1486857600
725,197,0,0,0,0,0,1,191.29,1484784000
420,761,0,0,0,0,1,0,130.35,1484524800
497,26,0,1,0,0,0,0,897.15,1487980800
18,812,0,0,0,0,0,1,410.03,1484524800
758,659,0,0,0,0,0,1,787.44,1488067200
345,201,0,1,0,0,0,0,505.74,1484352000
111,675,0,0,0,0,1,0,676.4,1488931200
397,274,1,0,0,0,0,0,183.46,1488412800
879,911,0,0,0,0,0,1,121.58,1484697600
743,642,0,0,0,1,0,0,275.45,1486339200
432,398,1,0,0,0,0,0,491.62,1484265600
786,394,1,0,0,0,0,0,328.56,1485129600
790,363,0,0,0,0,0,1,502.14,1488412800
774,737,0,1,0,0,0,0,567.84,1487721600
124,357,0,0,0,0,0,1,122.86,1483228800
9,793,1,0,0,0,0,0,103.86,1483833600
790,843,0,0,0,0,1,0,343.34,1484697600
879,911,0,0,0,0,0,1,820.8,1486512000
882,889,1,0,0,0,0,0,951.64,1488326400
970,706,0,0,0,0,0,1,491.99,1484006400
923,343,0,0,0,0,0,1,249.07,1484524800
773,550,0,0,0,0,0,1,138.34,1484784000
841,937,0,0,0,0,0,1,134.62,1486771200
938,206,0,0,0,1,0,0,889.04,1486080000
758,902,0,0,0,0,0,1,300.64,1483228800
583,356,0,0,0,0,0,1,637.38,1487116800
109,389,0,0,0,0,0,1,262.79,1483574400
192,861,0,0,0,0,0,1,618.74,1488585600
892,937,1,0,0,0,0,0,723.3,1483574400
919,559,0,0,0,1,0,0,132.92,1487376000
159,340,0,0,0,0,0,1,624.07,1483228800
796,331,0,1,0,0,0,0,363.51,1484438400
620,998,0,1,0,0,0,0,193.19,1485734400
546,135,0,0,0,0,0,1,648.93,1485129600
790,363,0,0,0,0,0,1,884.37,1484784000
674,951,0,0,0,0,1,0,705.72,1487376000
76,144,0,0,0,0,0,1,150.21,1485302400
151,384,0,0,1,0,0,0,443.65,1488412800
17,511,0,0,0,0,0,1,407.02,1484611200
999,910,0,0,0,0,0,1,303.4,1487548800
511,17,0,0,0,0,0,1,441.03,1484438400
791,214,0,1,0,0,0,0,433.43,1484784000
470,231,0,0,0,0,0,1,554.76,1483228800
103,275,0,0,0,1,0,0,956.07,1488758400
990,359,0,0,0,0,0,1,726.06,1486425600
647,396,1,0,0,0,0,0,409.22,1485216000
87,454,0,0,0,0,1,0,910.37,1488153600
565,519,0,0,0,0,1,0,111.38,1485043200
115,38,0,1,0,0,0,0,439.85,1487721600
687,851,0,0,0,0,0,1,946.39,1488931200
779,962,0,1,0,0,0,0,787.39,1484352000
468,327,1,0,0,0,0,0,940.22,1487894400
501,266,0,0,0,0,1,0,139.37,1483660800
658,960,0,0,0,0,0,1,447.61,1485820800
185,574,1,0,0,0,0,0,968.91,1483574400
502,349,0,0,0,1,0,0,625.06,1487894400
597,181,1,0,0,0,0,0,214.6,1484870400
175,895,0,0,1,0,0,0,896.82,1484179200
510,346,0,0,0,1,0,0,829.39,1487980800
841,937,0,0,0,0,0,1,912.62,1484352000
932,328,0,1,0,0,0,0,998.85,1485734400
34,404,0,0,0,0,1,0,212.8,1484092800
128,818,0,0,0,1,0,0,1061.29,1483401600
189,973,0,0,0,1,0,0,966.21,1484784000
512,194,0,0,0,0,0,1,517.0,1488758400
663,116,0,0,0,0,0,1,945.78,1484265600
626,664,0,0,0,0,1,0,989.54,1484352000
186,723,0,1,0,0,0,0,193.36,1487635200
545,420,0,0,0,1,0,0,273.89,1487548800
695,925,0,0,0,0,0,1,657.48,1485907200
909,316,0,0,0,0,0,1,677.07,1488585600
5,824,0,0,0,0,0,1,707.3,1487894400
253,263,1,0,0,0,0,0,883.92,1488499200
184,985,0,0,0,1,0,0,821.65,1484265600
310,244,0,0,0,0,0,1,752.89,1488067200
896,276,0,0,0,0,0,1,798.18,1488931200
181,597,0,0,0,0,1,0,466.15,1488585600
558,263,0,0,0,0,0,1,933.27,1487894400
128,818,0,0,0,1,0,0,210.07,1485820800
642,327,1,0,0,0,0,0,213.45,1488672000
596,288,0,0,0,0,0,1,338.13,1485475200
693,988,0,1,0,0,0,0,155.36,1484870400
161,454,0,0,0,0,1,0,723.63,1487635200
254,388,0,0,0,0,1,0,890.63,1484092800
613,374,0,0,0,0,0,1,191.5,1487030400
534,100,1,0,0,0,0,0,475.36,1483401600
857,248,0,0,0,0,0,1,665.55,1486339200
928,231,0,1,0,0,0,0,402.34,1489104000
446,260,0,0,0,1,0,0,827.89,1485388800
158,975,0,0,0,0,0,1,683.29,1483920000
53,551,0,0,1,0,0,0,265.3,1485734400
89,801,0,0,0,1,0,0,497.74,1485216000
135,990,1,0,0,0,0,0,408.74,1487894400
969,336,0,0,0,0,0,1,378.59,1484784000
128,428,0,0,0,0,1,0,250.97,1488844800
168,639,1,0,0,0,0,0,402.85,1487980800
637,318,0,1,0,0,0,0,704.8,1484697600
587,4,0,0,0,0,1,0,161.23,1486080000
164,847,0,0,1,0,0,0,348.53,1483920000
39,165,0,0,0,1,0,0,802.58,1484524800
675,945,0,0,0,0,0,1,521.61,1484524800
629,612,0,0,0,0,0,1,274.51,1485820800
626,981,0,0,0,0,0,1,291.82,1483747200
956,884,0,0,0,0,0,1,919.1,1489104000
816,979,1,0,0,0,0,0,533.51,1485907200
553,367,0,0,1,0,0,0,935.69,1488412800
753,911,0,0,0,0,1,0,411.67,1483747200
408,29,0,0,0,0,0,1,877.26,1486944000
389,226,0,0,0,0,0,1,197.95,1483488000
852,997,0,1,0,0,0,0,767.29,1484870400
417,219,0,0,0,0,0,1,858.02,1484006400
19,873,1,0,0,0,0,0,457.81,1487548800
638,801,0,0,0,0,0,1,660.35,1484006400
994,286,0,0,0,1,0,0,346.83,1485734400
996,291,0,0,1,0,0,0,574.03,1485993600
989,262,0,1,0,0,0,0,306.11,1489104000
582,110,0,0,0,0,0,1,248.08,1486166400
663,422,0,1,0,0,0,0,883.16,1486080000
530,143,1,0,0,0,0,0,538.67,1487548800
574,185,1,0,0,0,0,0,282.06,1484179200
553,367,0,0,0,0,1,0,319.97,1485388800
847,688,0,1,0,0,0,0,714.97,1483920000
886,323,0,0,0,0,1,0,397.37,1485475200
488,164,0,0,0,0,0,1,395.06,1486598400
895,825,0,0,0,0,0,1,456.83,1483574400
215,266,0,0,0,0,0,1,651.94,1487462400
585,321,0,0,0,0,0,1,249.86,1484438400
856,977,0,0,1,0,0,0,731.59,1484352000
122,894,0,0,0,1,0,0,212.5,1485302400
659,952,1,0,0,0,0,0,283.91,1488931200
653,392,0,0,0,0,0,1,787.97,1484697600
552,397,1,0,0,0,0,0,434.11,1487894400
863,212,0,0,0,0,1,0,108.07,1487203200
4,918,0,0,0,0,0,1,921.92,1488240000
829,800,0,0,0,1,0,0,255.21,1483488000
532,632,0,1,0,0,0,0,762.4,1486425600
802,921,0,0,0,1,0,0,609.16,1485993600
978,997,0,0,0,0,1,0,249.35,1483660800
420,251,0,0,0,0,0,1,218.4,1487635200
489,422,0,0,0,0,1,0,829.07,1485734400
728,999,0,0,1,0,0,0,585.82,1487203200
423,173,0,0,0,0,0,1,150.46,1487548800
411,46,0,0,0,0,0,1,110.65,1485216000
9,793,1,0,0,0,0,0,296.56,1487462400
848,943,0,1,0,0,0,0,577.99,1487894400
715,427,0,0,0,0,1,0,936.02,1488067200
752,943,0,0,0,0,1,0,323.55,1483315200
685,933,0,1,0,0,0,0,205.55,1484697600
829,800,0,0,0,1,0,0,567.29,1485907200
570,442,0,0,0,0,0,1,574.89,1483920000
181,346,0,0,0,0,0,1,519.13,1487462400
103,275,0,0,0,1,0,0,585.02,1483920000
325,354,1,0,0,0,0,0,114.04,1488240000
858,369,0,0,0,0,0,1,424.3,1485216000
50,700,0,0,0,0,0,1,147.74,1489017600
145,260,0,0,0,0,0,1,685.97,1483228800
957,337,0,1,0,0,0,0,990.83,1488758400
585,229,0,0,0,1,0,0,429.38,1486944000
505,218,0,0,1,0,0,0,592.62,1485129600
36,927,0,0,0,0,0,1,239.76,1488585600
631,831,0,0,0,1,0,0,237.72,1486598400
815,879,0,0,0,1,0,0,687.43,1487376000
727,526,0,0,0,0,0,1,287.69,1488499200
932,241,0,0,0,0,0,1,307.3,1485993600
41,763,1,0,0,0,0,0,627.0,1487462400
802,921,0,0,0,1,0,0,512.62,1488412800
779,312,0,1,0,0,0,0,427.13,1488585600
956,884,0,0,0,0,0,1,136.56,1486684800
613,957,0,0,0,0,0,1,717.91,1486080000
138,983,1,0,0,0,0,0,121.24,1487548800
651,333,0,1,0,0,0,0,676.14,1486684800
110,582,0,0,0,0,0,1,897.82,1485648000
484,506,1,0,0,0,0,0,136.16,1484352000
386,251,0,0,0,0,0,1,359.55,1488844800
141,398,0,0,0,0,0,1,430.97,1483920000
697,703,1,0,0,0,0,0,841.81,1484265600
921,879,0,0,1,0,0,0,880.19,1483488000
910,391,0,0,0,0,1,0,583.99,1483747200
980,194,0,0,0,0,1,0,663.54,1486252800
125,422,0,0,0,0,0,1,143.54,1487548800
934,982,0,1,0,0,0,0,999.29,1486425600
558,263,0,0,0,0,0,1,477.37,1484611200
516,326,1,0,0,0,0,0,442.44,1483747200
112,979,0,0,0,0,0,1,507.17,1487289600
569,352,0,0,0,0,0,1,120.85,1489190400
663,533,0,1,0,0,0,0,671.1,1487894400
556,106,0,0,0,0,0,1,879.66,1486512000
748,997,0,1,0,0,0,0,435.87,1486598400
108,908,0,0,0,0,0,1,175.89,1487376000
580,219,0,0,0,0,1,0,899.51,1485216000
734,979,0,1,0,0,0,0,554.41,1488067200
381,245,0,0,0,0,0,1,106.1,1484006400
632,610,0,0,0,0,0,1,572.06,1483315200
414,231,0,0,0,0,1,0,670.74,1487894400
55,860,0,0,1,0,0,0,880.97,1487030400
697,838,0,1,0,0,0,0,650.41,1488499200
940,352,0,0,0,0,0,1,352.21,1485648000
225,385,0,1,0,0,0,0,899.75,1484092800
894,648,0,0,0,0,1,0,889.64,1486944000
752,477,1,0,0,0,0,0,632.91,1486339200
634,854,1,0,0,0,0,0,335.26,1484524800
677,823,1,0,0,0,0,0,383.59,1488067200
576,272,0,0,0,0,1,0,233.33,1486512000
81,444,0,0,0,0,1,0,385.36,1485993600
175,895,0,0,1,0,0,0,376.3,1487203200
59,632,0,0,0,0,0,1,990.85,1487116800
502,95,0,0,0,0,0,1,134.05,1484265600
618,972,0,1,0,0,0,0,476.47,1488672000
180,534,0,0,0,0,0,1,515.48,1485216000
485,27,0,0,0,0,0,1,920.27,1488672000
486,152,0,1,0,0,0,0,602.71,1485043200
127,542,0,0,0,0,0,1,667.37,1487203200
401,222,0,1,0,0,0,0,407.75,1486944000
999,910,0,0,0,0,0,1,550.27,1488153600
738,499,0,0,1,0,0,0,339.22,1485993600
459,231,1,0,0,0,0,0,737.71,1488412800
768,388,0,0,0,0,0,1,777.46,1488931200
494,209,0,0,0,0,0,1,895.08,1486944000
146,875,1,0,0,0,0,0,608.97,1487376000
906,935,0,0,1,0,0,0,881.66,1485734400
589,344,0,1,0,0,0,0,122.14,1484438400
929,645,0,0,0,0,0,1,492.01,1484006400
169,969,0,0,0,0,0,1,890.12,1487462400
821,741,1,0,0,0,0,0,620.17,1485993600
757,108,1,0,0,0,0,0,221.84,1483920000
126,64,0,1,0,0,0,0,607.95,1484524800
170,230,0,1,0,0,0,0,983.57,1487116800
869,526,1,0,0,0,0,0,886.87,1486339200
943,732,1,0,0,0,0,0,845.49,1487376000
616,289,1,0,0,0,0,0,620.58,1485043200
557,441,0,0,0,1,0,0,671.64,1485475200
253,263,1,0,0,0,0,0,678.05,1483660800
205,350,0,1,0,0,0,0,554.75,1487376000
567,200,1,0,0,0,0,0,303.81,1486339200
540,165,0,0,1,0,0,0,935.89,1485302400
888,805,0,0,1,0,0,0,721.14,1483660800
755,802,0,0,0,0,0,1,469.56,1487203200
973,403,0,0,0,0,0,1,360.98,1484179200
674,755,0,0,0,0,0,1,250.78,1484956800
140,934,0,1,0,0,0,0,915.0,1485907200
130,990,0,1,0,0,0,0,962.73,1484697600
101,923,0,0,0,0,1,0,961.12,1487116800
176,667,0,0,0,0,0,1,502.12,1486252800
466,335,0,0,0,0,0,1,895.17,1484611200
35,977,0,0,0,0,1,0,736.37,1483228800
498,271,0,0,0,1,0,0,694.03,1485648000
197,300,1,0,0,0,0,0,315.84,1485129600
822,989,1,0,0,0,0,0,963.53,1489190400
540,165,0,0,0,0,0,1,770.97,1488326400
840,344,0,0,0,0,0,1,336.02,1483660800
515,322,0,0,0,0,1,0,500.12,1485388800
97,935,0,0,0,0,0,1,679.75,1488672000
665,504,0,0,0,0,0,1,632.49,1484870400
831,906,0,0,0,0,1,0,695.45,1488844800
882,889,1,0,0,0,0,0,656.51,1488931200
987,373,0,0,1,0,0,0,202.17,1486512000
6,156,1,0,0,0,0,0,188.75,1489104000
703,373,0,0,0,0,0,1,475.16,1483315200
604,279,0,0,0,0,0,1,234.23,1484179200
757,640,0,0,0,0,1,0,751.45,1486944000
653,931,0,0,0,0,0,1,395.95,1488585600
97,989,0,0,0,0,1,0,342.76,1486857600
981,584,1,0,0,0,0,0,167.46,1484438400
115,729,0,1,0,0,0,0,475.87,1487116800
595,362,1,0,0,0,0,0,678.06,1487116800
164,348,0,0,0,0,1,0,790.33,1487116800
125,536,0,0,0,0,0,1,946.05,1483920000
308,342,0,0,0,0,1,0,652.89,1483747200
665,496,0,0,0,1,0,0,849.5,1484265600
514,25,0,0,0,1,0,0,760.03,1483920000
974,250,0,0,0,0,0,1,244.18,1486512000
983,951,0,0,0,0,0,1,787.87,1488931200
873,971,0,0,1,0,0,0,934.01,1487376000
903,341,0,0,0,0,1,0,489.87,1484611200
964,360,0,0,0,0,0,1,174.51,1483488000
792,731,0,1,0,0,0,0,851.99,1483660800
99,324,0,1,0,0,0,0,272.58,1487289600
490,296,0,0,0,0,0,1,115.12,1489017600
166,942,0,0,1,0,0,0,266.88,1486857600
942,853,1,0,0,0,0,0,134.98,1484870400
896,981,0,0,0,0,0,1,973.0,1484524800
652,263,1,0,0,0,0,0,835.04,1485475200
794,537,0,0,0,0,0,1,839.52,1485388800
18,768,0,0,0,1,0,0,245.35,1485129600
571,175,0,0,1,0,0,0,921.51,1487116800
680,799,0,0,0,1,0,0,579.19,1487808000
88,726,0,0,0,0,0,1,808.69,1489104000
767,980,0,0,0,0,0,1,680.04,1486857600
32,898,0,0,0,0,0,1,1007.89,1488499200
999,910,0,0,0,0,0,1,524.08,1485734400
839,343,0,0,0,1,0,0,246.49,1484870400
220,244,1,0,0,0,0,0,398.91,1483228800
454,41,1,0,0,0,0,0,910.43,1484006400
476,148,0,0,0,1,0,0,407.66,1484524800
54,863,0,0,0,0,1,0,469.34,1487289600
540,237,0,1,0,0,0,0,283.54,1488153600
947,353,0,0,0,0,0,1,476.68,1485129600
641,400,0,0,0,0,0,1,111.63,1487376000
